sample_id	order	genus	species	genome_filename
S0001	Blasiales	Blasia	pusilla	GCA_050084515.1_ASM5008451v1_genomic.fna
S0002	Jungermanniales	Plagiochila	carringtonii	GCA_977930285.1_cjPlaCarr2.1_genomic.fna
S0003	Jungermanniales	Scapania	undulata	GCA_978018195.1_cjScaUndu1.1_genomic.fna
S0004	Jungermanniales	Scapania	gracilis	GCA_975526265.1_cjScaGrac1.1_genomic.fna
S0005	Jungermanniales	Herbertus	hutchinsiae	GCA_965112325.2_cjHerHutc3.2_genomic.fna
S0006	Jungermanniales	Scapania	ornithopodioides	GCA_973897035.1_cjScaOrni3.1_genomic.fna
S0007	Lepidoziales	Bazzania	trilobata	GCA_982185005.1_cjBazTril2.1_genomic.fna
S0008	Marchantiales	Marchantia	polymorpha	GCA_037833965.1_MpTak2_v7.1_genomic.fna
S0009	Marchantiales	Riccia	fluitans	GCA_043381455.1_UWM_Rflu_1.0_genomic.fna
S0010	Marchantiales	Lunularia	cruciata	GCA_948567375.1_cmLunCruc20.1_genomic.fna
S0011	Marchantiales	Conocephalum	conicum	GCA_050084475.1_ASM5008447v1_genomic.fna
S0012	Ptilidiales	Ptilidium	ciliare	GCA_965642335.2_cjPtiCili3.2_genomic.fna
