sample_id	order	genus	species	genome_filename
S0001	Archidiales	Archidium	alternifolium	GCA_050084235.1_ASM5008423v1_genomic.fna
S0002	Polytrichales	Atrichum	angustatum	GCA_050084355.1_ASM5008435v1_genomic.fna
S0003	Hypnales	Antitrichia	curtipendula	GCA_951230915.1_cbAntCurt1.1_genomic.fna
S0004	Andreaeales	Andreaea	nivalis	GCA_965637445.2_caAndNiva3.2_genomic.fna
S0005	Hypnales	Aerobryopsis	subdivergens	GCA_050083985.1_ASM5008398v1_genomic.fna
S0006	Rhizogoniales	Aulacomnium	turgidum	GCA_048933245.1_ASM4893324v1_genomic.fna
S0007	Bryales	Bryum	argenteum	GCA_037043015.1_EGI_Barg_1.0_genomic.fna
S0008	Pottiales	Bryoerythrophyllum	caledonicum	GCA_963971425.1_cbBryCale10.1_genomic.fna
S0009	Bryoxiphiales	Bryoxiphium	norvegicum	GCA_050084295.1_ASM5008429v1_genomic.fna
S0010	Hypnales	Brachythecium	rutabulum	GCA_965636905.1_cbBraRuta5.1_genomic.fna
S0011	Ditrichales	Ceratodon	purpureusgg1	GCA_014871845.1_CpurpureusGG1_1_0_genomic.fna
S0012	Ditrichales	Ceratodon	purpureusr40	GCA_014871385.1_CpurpureusR40_1_0_genomic.fna
S0013	Hypnales	Calliergon	cordifolium	GCA_964639475.1_cbCalCord2.1_genomic.fna
S0014	Hypnales	Climacium	dendroides	GCA_950106755.1_cbCliDend2.1_genomic.fna
S0015	Hypnales	Cratoneuron	filicinum	GCA_964340565.1_cbCraFili2.1_genomic.fna
S0016	Hypnales	Entodon	concinnus	GCA_050083955.1_ASM5008395v1_genomic.fna
S0017	Dicranales	Fissidens	javanicus	GCA_050084195.1_ASM5008419v1_genomic.fna
S0018	Grimmiales	Grimmia	obtusifolia	GCA_050084275.1_ASM5008427v1_genomic.fna
S0019	Hypnales	Hyocomium	armoricum	GCA_964235365.1_cbHyoArmo16.1_genomic.fna
S0020	Hedwigiales	Hedwigia	ciliata	GCA_050084075.1_ASM5008407v1_genomic.fna
S0021	Hypnales	Hypnum	cupressiforme	GCA_965113285.1_cbHypCupr5.1_genomic.fna
S0022	Hypnales	Heterocladium	heteropterum	GCA_965283215.1_cbRhyConf1.1_genomic.fna
S0023	Hypnales	Hylocomiadelphus	triquetrus	GCA_965234835.1_cbHylTriq8.1_genomic.fna
S0024	Hypnales	Loeskeobryum	brevirostre	GCA_965363035.1_cbLoeBrev3.1_genomic.fna
S0025	Hypnales	Isopterygiella	pulchella	GCA_964656885.1_cbIsoPulc3.1_genomic.fna
S0026	Orthotrichales	Lewinskya	acuminata	GCA_965213355.2_cbLewAcum8.4_genomic.fna
S0027	Hypnales	Neckera	pumila	GCA_963969595.1_cbNecPumi1.1_genomic.fna
S0028	Orthotrichales	Orthotrichum	anomalum	GCA_050084045.1_ASM5008404v1_genomic.fna
S0029	Orthotrichales	Orthotrichum	diaphanum	GCA_965153465.1_cbLewAcum8.1_genomic.fna
S0030	Orthotrichales	Orthothecium	rufescens	GCA_965112805.1_cbOrtRufe2.1_genomic.fna
